scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Digital Literacy Scheme,Government,"6-18, 19-35",All,All,All,All India,Enhance digital skills among youth and adults,School students and working professionals,"Free digital training, device access",Enroll online or through partner institutions,https://digitalliteracy.gov.in,N/A,N/A,N/A,N/A
Jan Dhan Yojana,Government,19-60,All,All,Below Poverty Line,All India,Savings and Banking Inclusion,Open to all citizens aged 18+,"Zero balance accounts, debit card, insurance cover",Visit nearest bank branch or use mobile app,https://www.pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural Areas,Microcredit and Financial Literacy,Women aged 18+ in rural regions,"Small loans, financial training, support groups",Apply through partner NGOs or banks,https://www.microfinancewomen.in,Interest rate 12-15% annually,1-3 years,Varies based on loan amount,Monthly
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,Urban and Rural,Pension Benefits,Citizens aged 60 or above with moderate income,Monthly pension of INR 2000-5000,Online or at designated pension offices,https://pension.gov.in,N/A,Lifetime,N/A,Monthly
Education Loan Scheme,Government,19-35,All,All,Middle,All India,Student Financing,Students enrolled in recognized institutions,"Loan up to INR 10 lakhs, interest subsidies",Online application via bank portal,https://www.studentloan.gov.in,Interest rate 8-10% per annum,5-15 years,Variable,Monthly
Start-Up India Scheme,Government,19-45,All,All,All,All India,Entrepreneurship Support,Individuals with innovative business ideas,"Tax exemptions, seed funding, mentorship","Online registration, pitch to government panel",https://startupindia.gov.in,N/A,N/A,N/A,N/A
Agricultural Credit Card Scheme,Government,19-60,All,All,All,Rural Areas,Agricultural Financing,Farmers with landholdings,"Low-interest credit, easy renewals",Apply through cooperative banks or regional offices,https://agri.credit.in,Interest rate 7-9% annually,1-5 years,Variable,Monthly
Digital Payment Incentives,Private,18-35,All,All,Middle,Urban,Promote Digital Payments,Users adopting digital payment methods,"Cashback offers, fee waivers","Download app, register, start transactions",https://digital.incentives.in,N/A,N/A,N/A,N/A
Apprenticeship Promotion Scheme,Government,18-25,All,All,Below Poverty Line,Urban and Rural,Skill Development,Students and young unemployed,"Stipend, skill training",Register through official portal or partner organizations,https://apprenticeship.gov.in,N/A,6 months to 2 years,N/A,N/A
Women Self-Help Groups Financing,Private,19-60,Female,OBC,Below Poverty Line,Rural,Microfinancing and Entrepreneurship,Women in rural areas forming SHGs,"Microloans, training, market linkages",Apply through local SHG federations,https://shgfinancing.in,Interest rate 10-14% annually,1-3 years,Variable,Monthly
Housing for All,Government,All,All,All,Middle,Urban and Rural,Affordable Housing,Low to middle income families,"Subsidized loans, construction support",Apply online or at local municipal offices,https://housingforall.gov.in,N/A,15-20 years,Variable,Monthly
Venture Capital Funding for Startups,Private,19-45,All,All,All,All India,Funding for Innovation,Startups with innovative ideas,"Equity investment, mentorship","Submit proposal online, review by panel",https://vcfunding.in,Returns vary based on startup success,N/A,N/A,N/A
National Rural Livelihoods Mission,Government,All,All,All,Below Poverty Line,Rural Areas,Rural Livelihoods Enhancement,Poverty-stricken households in rural areas,"Skill training, self-employment support",Register at local government offices or online,https://nrlm.gov.in,N/A,Ongoing,N/A,N/A
Financial Literacy Campaigns,Private,All,All,All,All,All India,Financial Awareness and Education,All citizens,"Educational resources, seminars",Participate in local campaigns or online webinars,https://finliteracy.in,N/A,Ongoing,N/A,N/A
Pradhan Mantri MUDRA Yojana,Government,19-60,All,All,Below Poverty Line,All India,Micro-Units Development and Refinance Agency,Individuals with micro-enterprises,"Refinance support, skill development",Apply through bank or microfinance institutions,https://mudra.org.in,Interest rate 10-12% annually,3-5 years,Variable,Monthly
Corporate Social Responsibility Funds,Private,All,All,All,All,All India,CSR Initiatives for Social Development,Eligible organizations and projects,"Funding support, project implementation",Apply through official CSR portals or organization,https://csr.gov.in,N/A,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,"Financial Inclusion, Banking Access",Open to all citizens above age 6,"Zero balance accounts, Debit cards, Insurance cover",Visit nearest bank branch or apply online,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Education & Marriage Savings,Parents or guardians of girl child,"Interest rate 7-8%, Tax benefits, Maturity amount in INR",Online or bank branch registration,https://india.gov.in/schemes/sukanya-samriddhi-yojana,Interest rate 7-8%,21 years or until marriage of girl,"As per minimum deposit limits, e.g., 250 INR/month",Monthly
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,"Urban, Rural",Affordable Housing for All,"Low-income groups, applicants below specific income thresholds","Subsidized loans, Interest subsidy","Online application, document submission at local housing authority",https://pmay.gov.in/,N/A,N/A,N/A,N/A
Mudra Yojana,Government,19-35,All,All,Below Poverty Line,All India,Microcredit for Small Businesses,"Micro or small enterprise owners, self-employed","Collateral-free loans, Low interest rates","Apply through bank or NBFC, online or offline",https://mudra.org.in/,Interest rate 8-12%,5-7 years,Depends on loan amount,Monthly or quarterly
Stand Up India Scheme,Government,All,All,SC,Below Poverty Line,All India,Financial assistance for SC/ST entrepreneurs,"SC/ST entrepreneurs, new business startup","Loan up to 1 crore, Interest subsidy","Online registration at official portal, document submission",https://standupmitra.in/,N/A,N/A,N/A,N/A
ICICI Bank Microfinance Scheme,Private,19-60,All,OBC,Middle,Urban,"Microcredit, Financial Literacy","Micro entrepreneurs, self-employed persons","Microloans, Financial literacy programs","Bank branch application, online support",https://icicibank.com/,Interest rate 10-15%,3-5 years,"Variable, based on loan amount",Monthly
HDFC Shiksha Loan,Private,19-35,All,General,Upper,Urban,Education Loan for Higher Studies,Students enrolled in recognized colleges/universities,"Low interest rates, Extended repayment options","Online application, document submission at branch",https://hdfcbank.com/,Interest rate 9-13%,5-15 years,Depends on loan amount,Monthly
Yes Bank Financial Literacy Program,Private,All,All,All,All,"Urban, Semi-urban",Financial Literacy & Inclusion,"Open to all residents, especially underserved communities","Workshops, Educational material, Free accounts",Register online or through local branches,https://yesbank.in/,N/A,N/A,N/A,N/A
Reliance Microcredit Initiative,Private,19-60,All,Minority,Below Poverty Line,"Rural, Urban",Microfinance for Small Businesses,"Small business owners, entrepreneurs from minority communities","Microloans, Business support services",Application through affiliated microfinance agents,https://reliancemicrofinance.com/,Interest rate 12-18%,2-4 years,Based on loan size,Monthly
Kotak Mahindra Bank Youth Savings Scheme,Private,6-18,All,All,Middle,Urban,Savings and Financial Education for Youth,Students and young working professionals,"Interest earnings, Financial literacy workshops","Online account setup, school/college endorsement",https://kotak.com/,Interest rate 4-6%,N/A,Initial deposit minimum 500 INR,N/A
Bajaj Finserv Loan for Women Entrepreneurs,Private,19-60,Female,All,Middle,All India,Business Financing for Women,Women entrepreneurs with existing businesses or startups,"Business loans, Mentorship programs","Online application, Submit business plan",https://bajajfinserv.in/,Interest rate 9-15%,3-7 years,Based on loan amount,Monthly
LIC New Endowment Plan,Private,All,All,All,Upper,All India,Life Insurance and Savings,All individuals,"Lump sum payout, Maturity benefits, Life cover",Online or branch application,https://licindia.in/,"Interest rate varies, maturity in INR",N/A,Premium as per plan,Annual or N/A
Rural Electrification Loan Scheme,Government,All,All,All,Below Poverty Line,Rural areas,Rural Electrification and Infrastructure Development,"Rural households, cooperatives","Loan for wiring, appliances, infrastructure",Application through local rural development office,https://rural.gov.in/,N/A,N/A,N/A,N/A
Skill Development for Youth,Government,19-35,All,All,Middle,All India,Skill Development and Employment,"Unemployed youth, recent graduates","Training programs, Job placements",Apply online or through employment centers,https://dget.gov.in/,N/A,3-6 months,N/A,N/A
Dairy Development Scheme,Private,19-60,All,All,Middle,Rural,Dairy Farming Support and Development,"Dairy farmers, cooperatives","Subsidies, Training, Equipment grants",Application at local cooperative or bank,https://dairyscheme.in/,N/A,N/A,N/A,N/A
Elderly Pension Scheme,Government,60+,All,All,All,All India,Old Age Pension Support,Elderly citizens below poverty line,"Monthly pension, Healthcare benefits",Online registration or at local offices,https://pension.gov.in/,N/A,Lifetime,Fixed monthly pension,Monthly
Pradhan Mantri Vaya Vandana Yojana,Government,60+,All,All,All,All India,Senior Citizens’ Savings and Pension Scheme,Senior citizens above 60,"Guaranteed interest, Pension options",Apply online or at bank branches,https://pib.gov.in/,Interest rate 7-8%,10 years,N/A,Monthly or quarterly
NABARD Rural Credit Fund,Government,All,All,All,Below Poverty Line,Rural areas,Rural Credit and Microfinance,"Rural microfinance institutions, cooperatives","Refinance support, Low-interest loans",Application through NABARD offices,https://nabard.org/,N/A,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Access and Financial Inclusion,Open to all residents of India with valid identity proof,"Free zero-balance savings account, Debit card, Insurance cover",Visit a bank branch or apply online with necessary documents,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Savings Interest Scheme for Women,Government,19-35,Female,OBC,Middle,Urban and Rural,Savings and Financial Security,"Women aged 19-35, OBC category, with valid ID","Interest on savings account, Financial literacy support",Online registration through the scheme portal or local bank,https://savingswomen.gov.in/,Interest rate 4% per annum,5 years,N/A,N/A
Microcredit Support Program,Private,36-60,All,General,Below Poverty Line,Rural areas,Microcredit and Small Business Support,Small entrepreneurs with viable business plans,"Low-interest microloans, Business training",Application via local microfinance institutions,https://microcreditindia.org/,Interest rate 8% per annum,3 years,Loan amount varies,Monthly
