scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Startup India Seed Fund,Government,20-45,All,All,All,India,Encourage startups and innovation,Startups registered with DPIIT,Seed funding support,Apply via Startup India portal,https://startupindia.gov.in,N/A,N/A
Rural Electrification Microfinance,Private,25-60,All,All,Below Poverty Line,Rural India,Finance for rural electrification projects,Small entrepreneurs and cooperatives,Loans for equipment and infrastructure,Apply through cooperative societies,https://ruralmicrofinance.in,Interest rate 9-11%,2-4 years
Women Self-Help Group Financing,Government,18-60,Female,OBC,Below Poverty Line,India,Empowerment through group financing,Registered women SHGs,"Group loans, capacity building",Apply via local rural development offices,https://shgfinancing.gov.in,Interest rate 7-10%,1-3 years
Digital Banking Access Initiative,Private,15-50,All,All,Middle,Urban India,Enhance digital banking reach,Residents with mobile number and ID,"Free digital banking account, incentives",Register online or at bank branches,https://digitalbanking.initiative,N/A,N/A
Financial Literacy Campaign,Government,12-60,All,All,All,India,Financial education and awareness,"Open to all residents, schools, and colleges","Workshops, online resources, awareness programs",Registration through local schools or community centers,https://finlitcampaign.in,N/A,Ongoing
Self-Help Group (SHG) Bank Linkage Program,Government,18-60,All,All,Below Poverty Line,India,Promoting savings and credit among SHGs,Registered SHGs with bank linkage,"Access to formal credit, capacity building",Apply via bank branches or government portals,https://shgbanklinkage.gov.in,Interest rates vary by bank,Ongoing
Sukanya Samriddhi Yojana,Government,0-5,Female,General,Below Poverty Line,All,Savings for girl children,Girls aged 0-10,"Tax benefits, high interest rate",Apply online or at bank branches,https://sukanyasamriddhi.nic.in/,Interest rate 7.6% p.a.,21 years or at marriage
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank accounts for all,Any Indian citizen above 10 years,"Zero balance accounts, insurance cover",Visit bank branch or online registration,https://pmjdy.gov.in/,N/A,Lifetime or until account closure
Mudra Yojana,Government,19-35,All,All,Middle,Rural and Urban,Microcredit for small businesses,Entrepreneurs and small business owners,"Collateral-free loans, easy eligibility",Apply through bank or online portal,https://mudra.org.in/,"Interest rates vary, around 12%",Up to 5 years
LIC New Endowment Plan,Private,36-60,All,All,Upper,All,Life insurance and savings,Individuals aged 18-60,"Guaranteed returns, life cover",Visit LIC branch or online,https://licindia.in/,Maturity amount depends on premiums paid,Lifetime or up to 25 years
IndusInd Bank Gold Loan Scheme,Private,19-60,All,All,Middle,Urban,Collateral-free gold loans,"Gold ornaments, Indian citizens","Quick disbursal, low interest rates",Apply at branch or online,https://indusind.com/,Interest rate around 10%,Up to 1 year or more
SBI Microloan Program,Government,19-35,All,OBC,Below Poverty Line,Rural India,Microcredit for small entrepreneurs,"Small business owners, farmers","Low interest rates, flexible repayment",Apply at SBI branch or online,https://sbi.co.in/,Interest around 10-14%,Up to 3 years
HDFC Income Protection Plan,Private,36-60,All,General,Upper,All India,Income protection and savings,Individuals aged 25-60,"Financial security, maturity benefits",Online or branch application,https://hdfc.com/,"Depends on plan, up to 10% interest rate",Lifetime or as specified
Rural Housing Scheme,Government,36-60,All,All,Below Poverty Line,Rural areas,Affordable housing financing,"Rural residents, low income","Low interest loans, subsidy options",Apply through rural cooperative banks,https://ruralhousing.gov.in/,Interest around 7%,Up to 20 years
ICICI Bank SmartSave Account,Private,6-18,All,General,All,Urban,Savings account for youth,Children and teenagers up to 18,"High interest rates, digital access",Online registration or branch visit,https://icicibank.com/,Interest rate around 6%,N/A
National Pension Scheme,Government,36-60,All,All,Middle,All India,Retirement savings,Indian citizens aged 18-60,"Pension benefits, tax benefits",Register online or through pension offices,https://npscra.nsdl.co.in/,"Depends on contributions, around 8% interest",Lifetime or until retirement
Private Microfinance Initiative,Private,19-60,All,OBC,Below Poverty Line,Urban and Rural,Microloans for women entrepreneurs,Women entrepreneurs with small businesses,"Small loans, flexible terms",Application via microfinance institutions,https://microfinance.org.in/,Interest rate around 15%,Up to 2 years
Skill Development for Youth,Government,19-35,All,All,Middle,All India,Skill training and employment,Youth aged 18-35,"Job placements, skill certificates",Apply online or at training centers,https://skillindia.gov.in/,N/A,"Varies, usually 6 months to 2 years"
Rural Electrification Scheme,Government,All,All,All,All,Rural areas,Electrification of villages,Rural households and villages,"Access to electricity, improved living standards",Implementation by government agencies,https://rural.gov.in/,N/A,Ongoing
Prime Savings Account,Government,19-35,All,All,Middle,Urban India,Savings and Wealth Building,Residents aged 19-35 with valid ID,"Interest on savings, tax benefits",Online registration with ID proof,https://finance.gov.in/prime-savings,Interest rate 4% p.a.,N/A
Microinsurance for Farmers,Government,36-60,All,OBC,Below Poverty Line,Rural India,Insurance Coverage,Farmers with landholdings,Financial protection against crop failure,Application at local government offices,https://agricover.gov.in/microinsurance,N/A,1 year renewable
Women’s Financial Empowerment Scheme,Government,19-60,Female,All,Middle,All India,Financial Literacy and Credit Access,Women aged 19-60,"Access to loans, financial literacy programs",Online and local centers,https://womenfinance.gov.in/empowerment,N/A,Lifetime
Digital Banking Initiative,Private,19-35,All,All,Upper,Urban India,Digital Literacy and Banking Access,Urban residents with ID proof,"Easy digital banking, financial inclusion",Online registration at partner banks,https://digitallink.com/initiative,N/A,N/A
Senior Citizens Pension Plan,Private,60+,All,All,All,All India,Pension and Financial Security,Senior citizens with valid ID,"Monthly pension, healthcare discounts","Offline at bank branches, online options",https://securepension.com,Interest rate 5% p.a.,Lifetime
Startup Microcredit Program,Government,19-50,All,OBC,Below Poverty Line,All India,Microcredit for Entrepreneurs,Startup entrepreneurs with viable business plan,"Low-interest loans, mentorship",Application through local government offices,https://microcredit.in/startup,Interest rate 7% p.a.,3-5 years
Rural Financial Inclusion Scheme,Government,36-60,All,ST,Below Poverty Line,Rural India,Banking and Credit Access,Rural residents with landholding or employment,"Access to banking, microloans",Application at rural banking centers,https://ruralbank.in/inclusion,N/A,N/A
Urban Youth Savings Plan,Private,19-25,All,General,Middle,Urban India,Savings and Financial Planning,Urban youth aged 19-25 with ID proof,"Savings account benefits, financial planning support",Online application at partner bank branches,https://urbanbank.com/youthsavings,Interest rate 3.5% p.a.,N/A
OBC Minority Wealth Builder,Government,19-60,All,OBC,Middle,All India,Wealth Accumulation and Investment,OBC individuals with income below upper income threshold,"Investment guidance, tax benefits",Online registration and local centers,https://wealthbuilder.gov.in/obc,Variable based on investments,Lifetime
Self-Help Group Finance Scheme,Government,19-50,All,SC,Below Poverty Line,Rural India,Microfinance for Self-Help Groups,Self-Help Groups with approved projects,"Microloans, capacity building",Application via local cooperative offices,https://shgfinance.gov.in,Interest rate 6% p.a.,2-4 years
Premium Deposit Scheme,Private,36-60,All,All,Upper,Urban India,Long-term Savings,Residents aged 36-60 with savings account,"High interest rates, tax benefits","Offline at bank branches, online options",https://premiumdeposit.com,Interest rate 6% p.a.,5 years
Youth Financial Literacy Program,Government,15-25,All,All,All,All India,Financial Education,All youth aged 15-25,"Financial literacy, workshops",Online and community centers,https://finlit.gov.in/youth,N/A,N/A
Private Microloan Platform,Private,19-50,All,All,Below Poverty Line,Urban and Rural India,Microloans for Small Businesses,Small business owners and entrepreneurs,"Microloans, quick disbursal",Online platform registration,https://microloanplatform.com,Interest rate 9% p.a.,1-3 years
Rural Elderly Care Scheme,Government,60+,All,All,All,Rural India,Elderly Care and Welfare,Rural elderly residents,"Healthcare support, pension options",Application at local government offices,https://eldercare.gov.in,N/A,Lifetime
Urban Microfinance Initiative,Private,19-40,All,All,Middle,Urban India,Microfinance and Credit Access,Urban residents with income proof,"Microloans, credit access",Online registration with KYC,https://urbanmicrofinance.com,Interest rate 8% p.a.,1-3 years
ST and SC Empowerment Scheme,Government,19-60,All,ST,All,All India,Empowerment and Skill Development,ST individuals with skill training eligibility,"Skill development, employment support",Application through local employment centers,https://stsc.gov.in/empowerment,N/A,N/A
Minority Community Financial Access,Government,19-60,All,Minority,Middle,All India,Financial Inclusion for Minorities,Minority community residents,"Banking access, financial products",Online and local banking centers,https://minorityfinance.gov.in,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,0-18,All,All,Below Poverty Line,National,Financial Inclusion and Savings,Open to all citizens above 10 years,Basic banking account with no minimum balance,Visit nearest bank branch or apply online,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-19,Female,General,All,All,Child Education and Marriage Fund,Parents or guardians of girl children below 10 years,Interest on deposits and maturity amount for girl child's education and marriage,Apply through post office or bank,https://sukanyasamriddhi.bet.go.in,Interest rate 7.6% p.a.,21 years or till marriage
Mahindra Finance Microloan,Private,19-60,All,OBC,Below Poverty Line,Rural India,Microcredit for small businesses,Small business owners or entrepreneurs with viable business plan,Small loans with flexible repayment options,Online application followed by face-to-face verification,https://mahindrafinance.com/microloan,Interest rate 15-20% p.a.,1-3 years
Ola Financial Services Wallet,Private,18-60,All,All,Middle,Urban,Digital Wallet and Payments,Anyone above 18 with valid ID,"Easy digital transactions, cashbacks",Download app and register with valid ID,https://ola.com/financial,N/A,N/A
Rural Self-Employment Training Institute,Government,18-60,All,All,All,Rural,Skill Development for Rural Entrepreneurs,Rural residents interested in skill training,"Training programs, subsidies, loan assistance",Apply through local rural development office,https://rseti.gov.in,N/A,Varies by program
